DatosMinDatos_Sexo,DatosMinDatos_Zona,DatosMinDatos_Departamento,DatosMinDatos_Etario,DatosMinDatos_Grupo,DatosMinDatos_No_carente,DatosMinDatos_Valor,DatosMinDatos_Total,DatosMinDatos_Proporción,DatosMinDatos_Variable,DatosMinDatos_ID,DatosMinDatos_Nombre_dpto
Hombre,Rural,5,Mayor,Colombiana,49275,319044,368318,0.86621687479722,Sin internet,3852,Antioquia
Hombre,Rural,5,Mayor,Colombiana,72354,295965,368318,0.80355724732806,Sin alcantarillado,2784,Antioquia
Hombre,Rural,5,Mayor,Colombiana,162106,38441,200548,0.191680628439333,Sin suministro continuo de agua,2282,Antioquia
Hombre,Rural,5,Mayor,Colombiana,184657,183661,368318,0.498647773598122,Sin recogida de basuras,1214,Antioquia
Hombre,Rural,5,Mayor,Colombiana,200548,167771,368318,0.455504950199352,Sin acueducto,1748,Antioquia
Hombre,Rural,5,Mayor,Colombiana,224278,144040,368318,0.391074572686411,Sin sanitario,4920,Antioquia
Hombre,Rural,5,Mayor,Colombiana,270490,97828,368318,0.265607320837807,Hacinamiento,680,Antioquia
Hombre,Rural,5,Mayor,Colombiana,271253,97066,368318,0.263537481826191,Sin combustible adecuado para cocinar,146,Antioquia
Hombre,Rural,5,Mayor,Colombiana,313753,15854,329607,0.0480993122112091,Sin empleo,7041,Antioquia
Hombre,Rural,5,Mayor,Colombiana,316508,51810,368318,0.140667194289725,Sin refrigerador,4386,Antioquia
Hombre,Rural,5,Mayor,Colombiana,324841,43477,368318,0.118043133863762,Sin pisos duraderos,5988,Antioquia
Hombre,Rural,5,Mayor,Colombiana,327330,40989,368318,0.111286454522377,Sin espacio exclusivo para la cocina,3318,Antioquia
Hombre,Rural,5,Mayor,Colombiana,347633,20685,368318,0.0561613386240441,Sin paredes duraderas,6522,Antioquia
Hombre,Rural,5,Mayor,Colombiana,365082,3237,368318,0.00878775842104049,Sin electricidad,5454,Antioquia
Hombre,Rural,5,Mayor,Retornada,0,539,539,1,Hacinamiento,681,Antioquia
Hombre,Rural,5,Mayor,Retornada,0,539,539,1,Sin alcantarillado,2785,Antioquia
Hombre,Rural,5,Mayor,Retornada,0,539,539,1,Sin espacio exclusivo para la cocina,3319,Antioquia
Hombre,Rural,5,Mayor,Retornada,0,539,539,1,Sin internet,3853,Antioquia
